index	num_heavy_atoms	num_bonds	depiction	look	time	size
0	32	32	SPACEFILLING	CARTOON	357.1360111236572	31.157
0	32	32	WIREFRAME	CARTOON	0.6306171417236328	8.49
0	32	32	BALL_AND_STICK	CARTOON	446.0000991821289	72.615
0	32	32	SPACEFILLING	GLOSSY	327.3320198059082	39.008
0	32	32	TUBE	CARTOON	670.2380180358887	31.275
0	32	32	WIREFRAME	GLOSSY	0.6330013275146484	8.49
0	32	32	BALL_AND_STICK	GLOSSY	426.12695693969727	93.41
1	33	37	SPACEFILLING	CARTOON	349.4222164154053	30.865
0	32	32	TUBE	GLOSSY	650.4919528961182	42.314
1	33	37	WIREFRAME	CARTOON	0.7190704345703125	9.844
1	33	37	BALL_AND_STICK	CARTOON	450.6239891052246	76.995
1	33	37	SPACEFILLING	GLOSSY	347.43285179138184	38.96
1	33	37	BALL_AND_STICK	GLOSSY	450.46210289001465	98.681
1	33	37	WIREFRAME	GLOSSY	0.7188320159912109	9.844
1	33	37	TUBE	CARTOON	779.0460586547852	36.468
2	34	38	SPACEFILLING	CARTOON	348.801851272583	31.562
2	34	38	BALL_AND_STICK	CARTOON	467.3020839691162	80.194
2	34	38	WIREFRAME	CARTOON	0.7631778717041016	10.615
1	33	37	TUBE	GLOSSY	770.7467079162598	48.917
2	34	38	SPACEFILLING	GLOSSY	350.3832817077637	39.901
2	34	38	BALL_AND_STICK	GLOSSY	467.6239490509033	102.105
2	34	38	WIREFRAME	GLOSSY	0.759124755859375	10.615
2	34	38	TUBE	CARTOON	824.8379230499268	38.41
3	38	41	SPACEFILLING	CARTOON	402.7719497680664	35.596
2	34	38	TUBE	GLOSSY	834.5069885253906	52.028
3	38	41	WIREFRAME	CARTOON	0.8199214935302734	11.316
3	38	41	BALL_AND_STICK	CARTOON	524.2340564727783	87.276
3	38	41	SPACEFILLING	GLOSSY	403.45001220703125	44.869
3	38	41	BALL_AND_STICK	GLOSSY	522.7439403533936	112.666
3	38	41	WIREFRAME	GLOSSY	0.7970333099365234	11.316
3	38	41	TUBE	CARTOON	881.3791275024414	40.58
4	20	21	SPACEFILLING	CARTOON	206.3140869140625	19.938
4	20	21	BALL_AND_STICK	CARTOON	273.3497619628906	48.828
4	20	21	WIREFRAME	CARTOON	0.4398822784423828	6.209
4	20	21	SPACEFILLING	GLOSSY	206.19702339172363	24.867
4	20	21	TUBE	CARTOON	472.1829891204834	23.325
3	38	41	TUBE	GLOSSY	890.6266689300537	55.315
4	20	21	WIREFRAME	GLOSSY	0.45371055603027344	6.209
4	20	21	BALL_AND_STICK	GLOSSY	272.784948348999	61.931
5	22	25	SPACEFILLING	CARTOON	233.9489459991455	22.183
4	20	21	TUBE	GLOSSY	475.7812023162842	31.642
5	22	25	WIREFRAME	CARTOON	0.46372413635253906	6.616
5	22	25	BALL_AND_STICK	CARTOON	302.8137683868408	54.123
5	22	25	SPACEFILLING	GLOSSY	232.23400115966797	27.618
5	22	25	TUBE	CARTOON	525.719165802002	26.635
5	22	25	WIREFRAME	GLOSSY	0.4642009735107422	6.616
5	22	25	BALL_AND_STICK	GLOSSY	305.15098571777344	69.054
