runtime (ms): 663.593053817749
ligand 0 smiles: O~[Cd]~Cl
ligand 1 smiles: Cl~[Cd]
ligand 2 smiles: [Cd]
ligand 3 smiles: [Cd]
ligand 4 smiles: CC1(C)S[C@H]([C@@H](CO)NC(O)CC2CCCCC2)N[C@H]1C(O)O
ligand 5 smiles: O~[Cd]~Cl
ligand 6 smiles: Cl~[Cd]
ligand 7 smiles: [Cd]
ligand 8 smiles: [Cd]
ligand 9 smiles: [Cd]
ligand 10 smiles: CC1(C)S[C@H]([C@@H](CO)NC(O)CC2CCCCC2)N[C@H]1C(O)O
ligand 11 smiles: O
ligand 12 smiles: O
ligand 13 smiles: O
ligand 14 smiles: O
ligand 15 smiles: O
ligand 16 smiles: O
ligand 17 smiles: O
ligand 18 smiles: O
ligand 19 smiles: O
ligand 20 smiles: O
ligand 21 smiles: O
ligand 22 smiles: O
ligand 23 smiles: O
ligand 24 smiles: O
ligand 25 smiles: O
ligand 26 smiles: O
ligand 27 smiles: O
ligand 28 smiles: O
ligand 29 smiles: O
ligand 30 smiles: O
ligand 31 smiles: O
ligand 32 smiles: O
ligand 33 smiles: O
ligand 34 smiles: O
ligand 35 smiles: O
ligand 36 smiles: O
ligand 37 smiles: O
ligand 38 smiles: O
ligand 39 smiles: O
ligand 40 smiles: O
ligand 41 smiles: O
ligand 42 smiles: O
ligand 43 smiles: O
ligand 44 smiles: O
ligand 45 smiles: O
ligand 46 smiles: O
ligand 47 smiles: O
ligand 48 smiles: O
ligand 49 smiles: O
ligand 50 smiles: O
ligand 51 smiles: O
ligand 52 smiles: O
ligand 53 smiles: O
ligand 54 smiles: O
ligand 55 smiles: O
ligand 56 smiles: O
ligand 57 smiles: O
ligand 58 smiles: O
ligand 59 smiles: O
ligand 60 smiles: O
ligand 61 smiles: O
ligand 62 smiles: O
ligand 63 smiles: O
ligand 64 smiles: O
ligand 65 smiles: O
ligand 66 smiles: O
ligand 67 smiles: O
ligand 68 smiles: O
ligand 69 smiles: O
ligand 70 smiles: O
ligand 71 smiles: O
ligand 72 smiles: O
ligand 73 smiles: O
ligand 74 smiles: O
ligand 75 smiles: O
ligand 76 smiles: O
ligand 77 smiles: O
ligand 78 smiles: O
ligand 79 smiles: O
ligand 80 smiles: O
ligand 81 smiles: O
ligand 82 smiles: O
ligand 83 smiles: O
ligand 84 smiles: O
ligand 85 smiles: O
ligand 86 smiles: O
ligand 87 smiles: O
ligand 88 smiles: O
ligand 89 smiles: O
ligand 90 smiles: O
ligand 91 smiles: O
ligand 92 smiles: O
ligand 93 smiles: O
ligand 94 smiles: O
ligand 95 smiles: O
ligand 96 smiles: O
ligand 97 smiles: O
ligand 98 smiles: O
ligand 99 smiles: O
ligand 100 smiles: O
ligand 101 smiles: O
ligand 102 smiles: O
ligand 103 smiles: O
ligand 104 smiles: O
ligand 105 smiles: O
ligand 106 smiles: O
ligand 107 smiles: O
ligand 108 smiles: O
ligand 109 smiles: O
ligand 110 smiles: O
